City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,orangeburg,33.4918,-80.8557,24.98,80,100,2.68,US,1723089946
84,baoding,38.8511,115.4903,34.68,37,0,0.62,CN,1723089947
85,bredasdorp,-34.5322,20.0403,8.1,95,0,2.46,ZA,1723089937
86,robertsport,6.7533,-11.3686,24.77,80,100,5.49,LR,1723089947
87,labytnangi,66.6572,66.4183,13.0,60,11,0.34,RU,1723089947
88,juan griego,11.0817,-63.9655,25.86,90,5,2.66,VE,1723089947
89,hawaiian paradise park,19.5933,-154.9731,27.07,75,0,4.12,US,1723089945
90,puerto baquerizo moreno,-0.9,-89.6,19.77,78,88,5.96,EC,1723089947
91,wailua homesteads,22.0669,-159.378,26.44,81,40,6.17,US,1723089931
92,scarborough,54.2797,-0.4044,14.25,87,42,1.79,GB,1723089830
93,rio do sul,-27.2142,-49.6431,19.66,88,100,1.48,BR,1723089948
94,fort st. john,56.2499,-120.8529,20.94,52,20,4.63,CA,1723089850
95,albany,42.6001,-73.9662,17.58,77,1,1.4,US,1723089645
96,antsiranana,-12.2787,49.2917,21.42,64,20,7.2,MG,1723089948
97,nar'yan-mar,67.6713,53.087,11.24,62,0,2.21,RU,1723089945
98,whitehorse,60.7161,-135.0538,26.43,34,0,6.17,CA,1723089855
99,nuuk,64.1835,-51.7216,4.34,100,100,2.57,GL,1723089948
100,vorkuta,67.5,64.0,12.48,56,24,1.37,RU,1723089948
101,nizhneudinsk,54.9076,99.0276,14.96,97,100,1.37,RU,1723089948
102,ribeira grande,38.5167,-28.7,21.54,84,0,3.13,PT,1723089931
103,bilibino,68.0546,166.4372,14.76,37,29,5.41,RU,1723089933
104,palikir - national government center,6.9248,158.1611,31.47,70,75,5.14,FM,1723089949
105,talnakh,69.4865,88.3972,16.91,49,4,3.39,RU,1723089943
106,yellowknife,62.456,-114.3525,20.29,40,20,4.12,CA,1723089942
107,qaqortoq,60.7167,-46.0333,7.08,91,100,2.04,GL,1723089944
108,turpan,42.9333,89.1667,28.54,43,98,0.79,CN,1723089949
109,port alfred,-33.5906,26.891,14.67,75,0,4.16,ZA,1723089933
110,shihezi,44.3,86.0333,33.56,17,100,5.91,CN,1723089949
111,culiacan,24.7994,-107.3897,28.82,79,20,3.09,MX,1723089949
112,jindrichuv hradec,49.144,15.003,18.82,99,100,1.34,CZ,1723089950
113,cootamundra,-34.65,148.0333,15.53,52,87,3.62,AU,1723089951
114,olonkinbyen,70.9221,-8.7187,5.31,100,100,3.23,SJ,1723089933
115,tiksi,71.6872,128.8694,5.81,96,100,0.45,RU,1723089938
116,badger,64.8,-147.5333,23.14,66,75,2.57,US,1723089932
117,remire-montjoly,4.9167,-52.2667,26.02,94,40,1.03,GF,1723089951
118,happy valley-goose bay,53.3168,-60.3315,12.17,94,75,3.09,CA,1723089939
119,kirakira,-10.4544,161.9205,27.89,72,100,6.04,SB,1723089951
120,dumai,1.6833,101.45,27.88,82,100,0.92,ID,1723089951
121,broken hill,-31.95,141.4333,16.13,42,100,8.34,AU,1723089952
122,katsuura,35.1333,140.3,27.65,83,25,3.99,JP,1723089938
123,udachny,66.4167,112.4,22.56,50,100,7.4,RU,1723089944
124,port lincoln,-34.7333,135.8667,16.2,69,85,5.94,AU,1723089952
125,college,64.8569,-147.8028,23.18,61,75,2.57,US,1723089931
126,otofuke,42.9917,143.2003,24.53,88,75,0.51,JP,1723089952
127,ketchikan,55.3422,-131.6461,21.26,52,0,1.54,US,1723089952
128,yakeshi,49.2833,120.7333,23.37,44,100,3.91,CN,1723089953
129,peniche,39.3558,-9.3811,20.11,91,10,8.18,PT,1723089949
130,filadelfia,39.9523,-75.1638,20.72,94,100,3.13,US,1723089721
131,lihue,21.9789,-159.3672,26.77,72,40,6.17,US,1723089952
132,rabo de peixe,37.8,-25.5833,21.73,94,40,2.57,PT,1723089953
133,dunedin,-45.8742,170.5036,8.78,83,100,1.34,NZ,1723089678
134,guerrero negro,27.9769,-114.0611,22.71,76,0,5.61,MX,1723089936
135,selfoss,63.9331,-20.9971,8.91,94,5,1.69,IS,1723089947
136,jamestown,42.097,-79.2353,19.8,88,100,4.12,US,1723089649
137,ashland,40.8167,-82.2665,20.98,94,0,2.75,US,1723089656
138,horta,38.5333,-28.6333,21.12,84,0,3.13,PT,1723089954
139,eraan,9.0629,117.7016,30.76,67,100,3.09,PH,1723089954
140,okhtyrka,50.3104,34.8988,18.39,66,76,2.88,UA,1723089954
141,saipan,15.1355,145.701,32.39,70,40,3.09,MP,1723089941
142,tazacorte,28.629,-17.9293,22.54,80,100,5.66,ES,1723089954
143,minas de marcona,-15.2119,-75.1103,9.52,91,88,6.39,PE,1723089947
144,tazovsky,67.4667,78.7,10.66,65,56,5.48,RU,1723089740
145,lautoka,-17.6167,177.4667,25.92,50,40,5.66,FJ,1723089955
146,kazan,55.7887,49.1221,18.34,80,22,2.41,RU,1723089820
147,kavaratti,10.5669,72.642,27.08,83,100,5.69,IN,1723089940
148,jose panganiban,14.2906,122.6917,33.8,55,70,3.95,PH,1723089955
149,amvrosiyivka,47.7935,38.4777,20.49,61,6,4.28,UA,1723089955
150,petropavlovsk-kamchatsky,53.0452,158.6483,27.33,44,75,7.0,RU,1723089952
151,al quwayrah,29.8004,35.3116,25.0,44,0,1.01,JO,1723089955
152,isla mujeres,21.2311,-86.731,25.09,78,43,1.12,MX,1723089955
153,rohru,31.2167,77.75,20.44,90,100,0.98,IN,1723089956
154,rikaze,29.25,88.8833,16.87,45,100,1.1,CN,1723089956
155,machico,32.7,-16.7667,23.35,73,40,6.17,PT,1723089956
156,klyuchi,52.2667,79.1667,23.69,63,99,2.83,RU,1723089934
157,polevskoy,56.4422,60.1878,11.68,91,71,3.24,RU,1723089956
158,lyantor,61.6195,72.1555,12.38,63,100,5.63,RU,1723089956
159,arkhangel'sk,64.5401,40.5433,12.06,94,0,2.0,RU,1723089660
160,altay,47.8667,88.1167,25.91,28,1,3.53,CN,1723089956
161,florenville,49.6998,5.3074,14.73,77,100,0.05,BE,1723089956
162,plaza huincul,-38.926,-69.2086,0.08,10,10,0.71,AR,1723089957
163,turbat,26.0023,63.044,28.65,70,100,1.07,PK,1723089957
164,vilyuysk,63.7553,121.6247,20.88,40,8,0.5,RU,1723089938
165,kristiansund,63.1115,7.732,14.36,93,40,3.09,NO,1723089957
166,avarua,-21.2078,-159.775,23.03,60,13,3.09,CK,1723089937
167,bozeman,45.6796,-111.0386,16.27,75,0,5.14,US,1723089957
168,fort bragg,35.139,-79.006,24.91,96,20,8.23,US,1723089957
169,kingston,17.997,-76.7936,29.53,74,20,4.63,JM,1723089857
170,bubaque,11.2833,-15.8333,26.26,83,100,7.47,GW,1723089945
171,alice springs,-23.7,133.8833,25.75,24,0,5.66,AU,1723089957
172,midvagur,62.0511,-7.1939,9.46,100,100,1.54,FO,1723089958
173,okhotsk,59.3833,143.3,18.77,65,9,1.42,RU,1723089815
174,el idrissia,34.4454,2.5275,25.36,30,15,3.05,DZ,1723089958
175,antsohihy,-14.8796,47.9875,18.88,60,7,2.93,MG,1723089958
176,katabu,-4.9333,122.5167,31.25,51,32,4.27,ID,1723089958
177,afaahiti,-17.75,-149.2833,25.93,81,5,7.4,PF,1723089935
178,nadi,-17.8,177.4167,26.0,50,40,5.66,FJ,1723089958
179,xilin hot,43.9667,116.0333,29.98,29,98,1.92,CN,1723089958
180,usinsk,65.9939,57.5281,14.67,51,7,3.76,RU,1723089959
181,papatowai,-46.5619,169.4708,8.71,72,49,3.68,NZ,1723089898
182,zaragoza,41.6561,-0.8773,23.9,64,0,6.17,ES,1723089727
183,fortuna,40.5982,-124.1573,14.4,93,100,0.0,US,1723089959
184,serhetabat,35.2799,62.3438,31.02,14,0,1.68,TM,1723089959
185,mount pearl,47.5166,-52.7813,16.19,89,0,8.75,CA,1723089814
186,el granada,37.5027,-122.4694,19.51,88,40,6.69,US,1723089959
187,deqen,29.9618,90.7188,14.97,57,100,1.87,CN,1723089959
188,muynoq,43.7683,59.0214,35.39,17,83,5.32,UZ,1723089960
189,ta`u,-14.2336,-169.5144,25.14,76,84,9.95,AS,1723089960
190,janakpur,26.7183,85.9065,29.6,73,100,3.93,NP,1723089960
191,shushtar,32.0455,48.8567,38.09,12,5,0.96,IR,1723089960
192,banda aceh,5.5577,95.3222,30.12,64,96,2.21,ID,1723089815
193,mersa matruh,31.3525,27.2453,25.11,83,0,2.06,EG,1723089960
194,carnarvon,-24.8667,113.6333,21.13,55,3,3.39,AU,1723089959
195,nadvoitsy,63.8667,34.3167,11.62,70,17,2.01,RU,1723089961
196,margaret river,-33.95,115.0667,15.72,64,100,5.87,AU,1723089818
197,masuguru,-11.3667,38.4167,17.73,88,6,1.18,TZ,1723089961
198,jayapura,-2.5333,140.7,29.66,74,81,3.35,ID,1723089961
199,jaumave,23.4167,-99.3833,22.37,93,80,0.8,MX,1723089961
200,poshekhon'ye,58.4993,39.1353,14.0,95,100,3.0,RU,1723089961
201,kotel'nich,58.3089,48.348,15.0,95,100,2.87,RU,1723089961
202,san felipe,10.3399,-68.7425,22.08,99,61,0.72,VE,1723089962
203,st. john's,47.5649,-52.7093,16.66,89,0,8.75,CA,1723089916
204,ixtapa,20.7,-105.2,28.57,84,40,1.03,MX,1723089962
205,ascension,30.2169,-90.9001,28.38,86,0,0.0,US,1723089962
206,howard springs,-12.497,131.047,32.95,36,80,4.32,AU,1723089963
207,garachico,28.7781,-17.7646,21.06,64,100,5.66,ES,1723089963
208,jefferson city,38.5767,-92.1735,20.61,83,0,2.68,US,1723089801
209,itoigawa,37.0333,137.85,29.45,84,63,2.69,JP,1723089963
210,ishigaki,24.3448,124.1572,27.07,94,75,3.6,JP,1723089964
211,luau,-10.7073,22.2247,15.37,26,67,1.6,AO,1723089964
212,hermanus,-34.4187,19.2345,11.29,86,0,3.14,ZA,1723089964
213,kone,-21.0595,164.8658,22.35,60,95,3.22,NC,1723089964
214,ancud,-41.8697,-73.8203,4.21,89,5,1.62,CL,1723089964
215,azul,-36.777,-59.8585,5.65,93,100,8.99,AR,1723089964
216,punta arenas,-53.15,-70.9167,2.06,80,100,5.14,CL,1723089938
217,tughyl,47.7252,84.2063,23.5,52,62,3.54,KZ,1723089964
218,sorong,-0.8833,131.25,29.55,68,64,5.57,ID,1723089845
219,yuzhno-kurilsk,44.0306,145.8556,18.4,99,100,2.38,RU,1723089965
220,la'ie,21.6477,-157.9253,28.98,75,3,2.24,US,1723089951
221,keflavik,64.0049,-22.5624,7.95,100,0,2.06,IS,1723089941
222,egilsstadir,65.2653,-14.3948,6.95,93,100,2.06,IS,1723089965
223,nigel,-26.4314,28.4771,12.44,42,0,2.19,ZA,1723089965
224,atafu village,-8.5421,-172.5159,28.31,70,16,8.95,TK,1723089938
225,vorgashor,67.5833,63.95,12.36,55,19,1.52,RU,1723089950
226,lebu,-37.6167,-73.65,5.39,89,6,1.97,CL,1723089902
227,qarawul,37.2202,68.7804,34.74,13,0,0.59,AF,1723089966
228,constantia,44.1833,28.65,18.17,72,4,1.29,RO,1723089946
229,juhaynah,26.6732,31.4976,28.18,29,1,2.17,EG,1723089966
230,alotau,-10.3069,150.4462,27.34,74,86,2.97,PG,1723089953
231,maceio,-9.6658,-35.7353,20.69,94,40,2.06,BR,1723089873
232,mount gambier,-37.8333,140.7667,12.87,66,100,5.31,AU,1723089953
233,fale old settlement,-9.3852,-171.2468,27.84,74,90,8.94,TK,1723089956
234,mountain home,43.133,-115.6912,25.01,20,99,1.34,US,1723089967
235,vernon,50.2581,-119.2691,26.2,38,21,0.51,CA,1723089967
236,zhengzhou,34.7578,113.6486,28.27,72,99,2.86,CN,1723089967
237,sakakah,29.9697,40.2064,23.76,18,0,2.41,SA,1723089967
238,quang ngai,15.1167,108.8,37.0,41,8,1.73,VN,1723089942
239,butterworth,5.3991,100.3638,33.02,52,20,5.14,MY,1723089967
240,penne,42.4538,13.9299,24.26,77,15,1.55,IT,1723089967
241,kiunga,-6.1219,141.2906,29.38,67,90,2.41,PG,1723089967
242,abadiania,-16.2042,-48.7069,16.51,47,0,0.5,BR,1723089968
243,dampit,-8.2116,112.7493,27.91,60,46,4.07,ID,1723089968
244,hasaki,35.7333,140.8333,32.38,73,28,4.47,JP,1723089969
245,crane,31.3974,-102.3501,33.72,21,7,2.5,US,1723089867
246,bikenibeu village,1.3673,173.1241,30.98,66,75,1.03,KI,1723089931
247,new norfolk,-42.7826,147.0587,14.4,56,100,4.01,AU,1723089946
248,newman,37.3138,-121.0208,32.99,40,0,1.34,US,1723089963
249,moramanga,-18.9333,48.2,11.99,94,29,0.63,MG,1723089969
250,el alto,-4.2714,-81.2147,17.53,77,3,8.37,PE,1723089944
251,saiki,32.95,131.9,32.25,59,0,3.45,JP,1723089853
252,khandyga,62.6667,135.6,20.22,52,6,0.93,RU,1723089970
253,papao,-17.75,-149.55,26.82,78,0,7.39,PF,1723089947
254,itamaraca,-7.7478,-34.8256,25.03,70,96,4.07,BR,1723089970
